CustomerID,CustomerName,Region,SignupDate,Age
C0001,Lawrence Carroll,South America,2022-07-10,56
C0002,Elizabeth Lutz,Asia,2022-02-13,46
C0003,Michael Rivera,South America,2024-03-07,32
C0004,Kathleen Rodriguez,South America,2022-10-09,60
C0005,Laura Weber,Asia,2022-08-15,25
C0006,Brittany Palmer,South America,2024-01-07,38
C0007,Paul Graves,Asia,2022-06-18,56
C0008,David Li,North America,2024-01-13,36
C0009,Joy Clark,Europe,2023-08-14,40
C0010,Aaron Cox,Europe,2022-12-15,28
C0011,Bryan Mathews,South America,2022-12-12,28
C0012,Kevin May,South America,2024-08-07,41
C0013,Lauren Buchanan,South America,2024-05-19,53
C0014,Deborah Wilcox,Europe,2024-06-22,57
C0015,Tina Duran,North America,2023-11-20,41
C0016,Emily Woods,North America,2024-01-03,20
C0017,Jennifer King,Europe,2023-12-05,39
C0018,Tyler Haynes,North America,2024-09-21,19
C0019,Brandon Rodriguez,Europe,2023-01-12,41
C0020,Mr. Manuel Conway,North America,2024-06-11,61
C0021,Robert Blanchard,Asia,2023-04-17,47
C0022,Teresa Esparza,Asia,2023-10-27,55
C0023,Nicholas Cain,Europe,2022-03-04,19
C0024,Michele Cooley,North America,2024-02-05,38
C0025,Gregory Odom,South America,2022-07-04,50
C0026,Sara Miller,North America,2024-05-03,29
C0027,Justin Heath,Asia,2022-11-09,39
C0028,Jennifer Pena,Asia,2024-06-29,61
C0029,Erin Manning,North America,2022-04-16,42
C0030,Mark Brock,North America,2024-01-30,44
C0031,Tina Miller,South America,2024-04-11,59
C0032,Dustin Campbell,South America,2024-04-17,45
C0033,Tyler Holt,North America,2024-08-04,33
C0034,Dalton Perez,North America,2023-09-27,32
C0035,Brianna Richardson,North America,2024-10-01,64
C0036,Brian Aguilar DDS,North America,2024-07-06,61
C0037,Linda Smith,Europe,2023-02-04,20
C0038,Jeffrey Perkins,North America,2022-04-16,54
C0039,Angela Harris,South America,2024-10-13,24
C0040,Michael Harrell,Asia,2022-03-07,38
C0041,Lindsey Deleon,Europe,2023-12-27,26
C0042,Heather Riley,North America,2023-03-15,56
C0043,Sandy Short MD,Asia,2023-02-05,35
C0044,Kenneth Alexander,Europe,2024-07-10,21
C0045,Michael Williams,Asia,2022-02-25,42
C0046,Beth Cardenas,North America,2024-10-23,31
C0047,Samantha Frank,North America,2024-03-22,26
C0048,Matthew Park,South America,2024-11-07,43
C0049,Jason Yates,North America,2024-09-18,19
C0050,Ryan Davis,North America,2024-03-02,37
C0051,Nicholas Ellis,Europe,2023-12-21,45
C0052,Stanley Aguirre,South America,2024-02-20,64
C0053,Albert Burke,Europe,2022-06-18,24
C0054,Bruce Rhodes,Asia,2024-09-29,61
C0055,Lauren Williams,North America,2024-11-11,25
C0056,Erika Fernandez,Asia,2024-04-12,64
C0057,Elizabeth Nguyen,Europe,2024-07-27,52
C0058,Zachary Turner,North America,2024-01-28,31
C0059,Mrs. Kimberly Wright,North America,2024-04-07,34
C0060,James Murphy,Europe,2022-04-22,53
C0061,Brandon Escobar,Europe,2023-03-06,57
C0062,Jeffery Hartman,Europe,2022-12-14,21
C0063,Wayne Ferguson,Europe,2024-02-05,19
C0064,Martha Montgomery,Europe,2023-10-22,23
C0065,Gerald Hines,North America,2024-07-10,59
C0066,Catherine White,Europe,2024-11-15,21
C0067,Carl Gonzalez,North America,2023-07-06,46
C0068,Mark Cox,North America,2023-04-04,35
C0069,Stacy Foster,Europe,2023-12-03,43
C0070,Timothy Perez,Europe,2022-03-15,61
C0071,Taylor Murphy,South America,2022-07-01,51
C0072,Sarah Scott,North America,2024-07-24,27
C0073,Heidi Johnson,Europe,2022-08-20,53
C0074,Jonathan Russo,Europe,2022-05-27,31
C0075,Misty Higgins,Europe,2023-05-01,48
C0076,Emily Roberts,South America,2024-02-11,32
C0077,Scott Sims,South America,2023-10-18,25
C0078,Julia Palmer,Asia,2024-11-13,31
C0079,Brian Murillo,North America,2022-02-02,40
C0080,David Gonzalez,Asia,2024-02-07,57
C0081,Kimberly Turner,Europe,2024-02-24,38
C0082,Aimee Taylor,South America,2022-05-13,33
